Time Interval (Minutes):,5,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-6-7
Year//Month,2018//01,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-
-,-,-,-,-,-,-,After_Adjustments,-,-,-,-,-,-,-,After_Adjustments,-,After_Adjustments,-,-,-,-,-,-,-,-,-,-,-,Before_Adjustments,-,-,-,-,-,Before_Adjustments,-,Before_Adjustments,-,-
YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Daily Total Energy (kWh),Daily Total Uncertainty (U95%),Average daily value,Maximum daily value,Minimum daily value,Maximum daily value,Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
Year//Month,2018//05,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE,JUNE
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html,,,,,,
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.792900000000001,microV/(W/m^2),9.58084,microV/(W/m^2),,-,9.792900000000001,microV/(W/m^2),9.792900000000001,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.792900000000001,microV/(W/m^2),9.58084,microV/(W/m^2),9.792900000000001,microV/(W/m^2),9.792900000000001,microV/(W/m^2),Data has been calibrated using the responsivity values listed ,,,,,,
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,5,-,3.177,-,10,-,10,-,30,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,3.177,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.,,,,,,
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.,,,,,,
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-7-20,,,,,,
Year//Month,2018//06,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,-,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY,JULY
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt,GHI_Tilt_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,TEMPERATURE,TEMPERATURE_Flag,GHI_original,GHI_original_Flag,GHI_Tilt_original,GHI_Tilt_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html,,,,,,
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.792900000000001,microV/(W/m^2),9.58084,microV/(W/m^2),,-,9.792900000000001,microV/(W/m^2),9.792900000000001,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.792900000000001,microV/(W/m^2),9.58084,microV/(W/m^2),9.792900000000001,microV/(W/m^2),9.792900000000001,microV/(W/m^2),Data has been calibrated using the responsivity values listed ,,,,,,
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,5,-,3.177,-,10,-,10,-,30,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,3.177,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.,,,,,,
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.,,,,,,
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-8-15,,,,,,
Year//Month,2018//07,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: Check data (2018-07-21).nb,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST,AUGUST
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html,,,,,,
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),,-,9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),Data has been calibrated using the responsivity values listed ,,,,,,
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,5,-,3.369,-,10,-,10,-,30,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,3.369,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.,,,,,,
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.,,,,,,
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-9-4,,,,,,
Year//Month,2018//08,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: Check data (2018-08-31).nb,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER,SEPTEMBER
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html,,,,,,
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),,-,9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),Data has been calibrated using the responsivity values listed ,,,,,,
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,5,-,3.369,-,10,-,10,-,30,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,3.369,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.,,,,,,
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.,,,,,,
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2018-10-1,,,,,,
Year//Month,2018//09,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: Check data (2018-09-18).nb,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER,OCTOBER
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,-,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html,,,,,,
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),-,-,9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),Data has been calibrated using the responsivity values listed ,,,,,,
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,5,-,3.369,-,10,-,10,-,30,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,3.369,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.,,,,,,
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.,,,,,,
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-1-9,,,,,,
Year//Month,2018//10,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2018-11-06).nb,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER,NOVEMBER
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
Latitude:,42.19441,-,-,-,-,Instrument Shorthand Name:,RSP,-,GHI_TILT,-,-,-,RSP,-,RSP,-,PV5kw,-,PV15kw,-,WS,-,TEMP(ASO),-,RSP,-,GHI_TILT,-,RSP,-,RSP,-,Flag description at: http://solardat.uoregon.edu/QualityControlFlags.html,,,,,,
Longitude (+ East):,-122.69814,-,-,-,-,Responsivity:,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),-,-,9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),160.,Varies,2.7777800000000004,Varies,1308.9005200000001,microV?/m/s,1000.0000000000001,microV?/C,9.83216,microV/(W/m^2),9.586260000000001,microV/(W/m^2),9.83216,microV/(W/m^2),9.83216,microV/(W/m^2),Data has been calibrated using the responsivity values listed ,,,,,,
Altitude (m):,594.,-,-,-,-,Estimated Uncertainty (U95%):,5,-,3.369,-,10,-,10,-,30,-,1.999,-,2.191,-,4.383,-,2.2,-,5,-,3.369,-,10,-,30,-,The phrase (_original) means the data has not had the nighttime offset subtracted.,,,,,,
Time Zone (+ East):,-8.,-,-,-,-,Sample Method:,Avg,-,Avg,-,-,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Avg,-,Data that has been (computed) was calculated from measured columns.,,,,,,
Time Interval (Minutes):,1,-,-,-,-,Units:,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Watts,-,Watts,-,m/s,-,C,-,W/m^2,-,W/m^2,-,W/m^2,-,W/m^2,-,Date this file was created: 2019-1-14,,,,,,
Year//Month,2018//11,-,-,-,-,Column Notes:,AdjustedColumn,-,AdjustedColumn,-,CalculatedColumn,-,AdjustedColumn,-,AdjustedColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,MeasuredColumn,-,This file was created using code: AAA Check data (2018-11-06).nb,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER,DECEMBER
Station ID Number:,94040,-,-,-,-,Type of Measurement:,GHI,GHI_Flag,GHI_Tilt(15:180),GHI_Tilt(15:180)_Flag,DrHI_Calc,DrHI_Calc_Flag,DNI,DNI_Flag,DHI,DHI_Flag,PV_Power,PV_Power_Flag,PV_Power,PV_Power_Flag,Wind_Speed,Wind_Speed_Flag,Temperature,Temperature_Flag,GHI_original,GHI_original_Flag,GHI_Tilt(15:180)_original,GHI_Tilt(15:180)_original_Flag,DNI_original,DNI_original_Flag,DHI_original,DHI_original_Flag,NOTES,,,,,,
Station Name:,ASO,-,-,-,-,Element:,1000,-,1160,-,2000,-,2010,-,3000,-,5161,-,5162,-,9210,-,9300,-,1000_original,-,1160_original,-,2010_original,-,3000_original,-,Contact Info: http://solardat.uoregon.edu,,,,,,
Station Location:,Ashland_Oregon_USA,-,-,-,-,Instrument Serial Number:,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,PV5kw,-,PV15kw,-,WS,-,TEMP,-,RSP(PY35563_GHI),-,LICOR(PY22981),-,RSP(PY35563_DNI),-,RSP(PY35563_DHI),-,Element description at: http://solardat.uoregon.edu/DataElementNumbers.html,,,,,,
